Title,Year,Rating,Votes,Stars
Smallville,2001–2011,7.5,131180,"['Michael Rosenbaum', 'Allison Mack', 'Kristin Kreuk']"
American Dad!,2005– ,7.4,130512,"['Wendy Schaal', 'Scott Grimes', 'Rachael MacFarlane']"
Sex and the City,1998–2004,7.3,130384,"['Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon']"
The Sinner,2017–2021,7.9,129131,"['Jessica Hecht', 'Dohn Norwood', 'Adam LeFevre']"
Andor,2022– ,8.4,127526,"['Kyle Soller', 'Stellan Skarsgård', ""Genevieve O'Reilly""]"
Schitt's Creek,2015–2020,8.5,126944,"[""Catherine O'Hara"", 'Dan Levy', 'Annie Murphy']"
30 Rock,2006–2013,8.3,126490,"['Alec Baldwin', 'Tracy Morgan', 'Jack McBrayer']"
Star Trek: Discovery,2017–2024,7,125910,"['Doug Jones', 'Anthony Rapp', 'Emily Coutts']"
Supergirl,2015–2021,6.2,125803,"['Chyler Leigh', 'David Harewood', 'Katie McGrath']"
The Legend of Korra,2012–2014,8.4,125332,"['P.J. Byrne', 'David Faustino', 'J.K. Simmons']"
Penny Dreadful,2014–2016,8.2,125027,"['Timothy Dalton', 'Eva Green', 'Reeve Carney']"
Star Trek: The Next Generation,1987–1994,8.7,124853,"['Brent Spiner', 'Jonathan Frakes', 'LeVar Burton']"
Watchmen,2019,8.2,124195,"['Yahya Abdul-Mateen II', 'Tom Mison', 'Sara Vickers']"
Mr. Bean,1990–1995,8.6,123531,"['Matilda Ziegler', 'Robin Driscoll', 'Matthew Ashforde']"
Grimm,2011–2017,7.9,123114,"['Russell Hornsby', 'Silas Weir Mitchell', 'Sasha Roiz']"
Lie to Me,2009–2011,8,122479,"['Kelli Williams', 'Brendan Hines', 'Monica Raymund']"
Killing Eve,2018–2022,8.1,122084,"['Sandra Oh', 'Fiona Shaw', 'Kim Bodnia']"
Revenge,2011–2015,7.8,121557,"['Emily VanCamp', 'Gabriel Mann', 'Nick Wechsler']"
What If...?,2021– ,7.4,121381,"['Terri Douglas', 'Matthew Wood', 'Robin Atkin Downes']"
Top Gear,2002– ,8.7,121175,"['Richard Hammond', 'James May', 'The Stig']"
The Newsroom,2012–2014,8.6,118326,"['Emily Mortimer', 'John Gallagher Jr.', 'Alison Pill']"
The Marvelous Mrs. Maisel,2017–2023,8.7,117594,"['Alex Borstein', 'Michael Zegen', 'Marin Hinkle']"
Broadchurch,2013–2017,8.4,116936,"['Olivia Colman', 'Jodie Whittaker', 'Andrew Buchan']"
Peacemaker,2022– ,8.3,116821,"['Danielle Brooks', 'Freddie Stroma', 'Jennifer Holland']"
The Office,2001–2003,8.5,116014,"['Martin Freeman', 'Mackenzie Crook', 'Lucy Davis']"
The Killing,2011–2014,8.3,115043,"['Joel Kinnaman', 'Billy Campbell', 'Liam James']"
Gravity Falls,2012–2016,8.9,114946,"['Alex Hirsch', 'Kristen Schaal', 'Linda Cardellini']"
Elementary,2012–2019,7.9,113490,"['Lucy Liu', 'Aidan Quinn', 'Jon Michael Hill']"
Weeds,2005–2012,7.9,112766,"['Hunter Parrish', 'Alexander Gould', 'Kevin Nealon']"
Orphan Black,2013–2017,8.3,112679,"['Dylan Bruce', 'Jordan Gavaris', 'Kevin Hanchard']"
Law & Order: Special Victims Unit,1999– ,8.1,111838,"['Christopher Meloni', 'Ice-T', 'Dann Florek']"
Only Murders in the Building,2021– ,8.1,110584,"['Martin Short', 'Selena Gomez', 'Amy Ryan']"
Bates Motel,2013–2017,8.1,110532,"['Freddie Highmore', 'Max Thieriot', 'Nicola Peltz Beckham']"
Deadwood,2004–2006,8.6,110149,"['Ian McShane', 'Molly Parker', 'Brad Dourif']"
The Fall,I) (2013–2016,8.1,109345,"['Jamie Dornan', 'John Lynch', 'Aisling Franciosi']"
Banshee,2013–2016,8.4,108407,"['Ivana Milicevic', 'Ulrich Thomsen', 'Frankie Faison']"
The Wheel of Time,2021– ,7.1,108322,"['Daniel Henney', 'Madeleine Madden', 'Zoë Robins']"
Under the Dome,2013–2015,6.5,108190,"['Rachelle Lefevre', 'Alexander Koch', 'Colin Ford']"
Hunter x Hunter,2011–2014,9,107620,"['Megumi Han', 'Cristina Valenzuela', 'Mariya Ise']"
The OA,2016–2019,7.8,107352,"['Jason Isaacs', 'Scott Wilson', 'Alice Krige']"
Black Sails,2014–2017,8.2,107242,"['Toby Stephens', 'Hannah New', 'Zach McGowan']"
Batman: The Animated Series,1992–1995,9,107073,"['Loren Lester', 'Efrem Zimbalist Jr.', 'Bob Hastings']"
The Morning Show,I) (2019– ,8.2,106689,"['Reese Witherspoon', 'Billy Crudup', 'Mark Duplass']"
DC's Legends of Tomorrow,2016–2022,6.8,106610,"['Amy Louise Pemberton', 'Dominic Purcell', 'Nick Zano']"
Married... with Children,1987–1997,8.1,106284,"['Christina Applegate', 'Katey Sagal', 'Amanda Bearse']"
My Name Is Earl,2005–2009,7.8,105371,"['Ethan Suplee', 'Jaime Pressly', 'Nadine Velazquez']"
Emily in Paris,2020– ,6.9,104618,"['Philippine Leroy-Beaulieu', 'Ashley Park', 'Samuel Arnold']"
Titans,I) (2018–2023,7.5,104190,"['Anna Diop', 'Ryan Potter', 'Teagan Croft']"
The Man in the High Castle,2015–2019,7.9,103875,"['Luke Kleintank', 'Rufus Sewell', 'Rupert Evans']"
Justified,2010–2015,8.6,103484,"['Nick Searcy', 'Joelle Carter', 'Jacob Pitts']"
Misfits,2009–2013,8.2,103167,"['Joe Gilgun', 'Iwan Rheon', 'Lauren Socha']"
Star Wars: The Clone Wars,2008–2020,8.4,102737,"['Dee Bradley Baker', 'Matt Lanter', 'James Arnold Taylor']"
The Americans,2013–2018,8.4,102522,"['Matthew Rhys', 'Keidrich Sellati', 'Holly Taylor']"
The Leftovers,2014–2017,8.3,102490,"['Amy Brenneman', 'Christopher Eccleston', 'Liv Tyler']"
SpongeBob SquarePants,1999– ,8.2,102230,"['Rodger Bumpass', 'Bill Fagerbakke', 'Clancy Brown']"
Lost in Space,2018–2021,7.3,101457,"['Toby Stephens', 'Maxwell Jenkins', 'Taylor Russell']"
Oz,1997–2003,8.7,101431,"['J.K. Simmons', 'Lee Tergesen', 'Dean Winters']"
2 Broke Girls,2011–2017,6.6,100318,"['Beth Behrs', 'Garrett Morris', 'Jonathan Kite']"
Psych,2006–2014,8.4,100169,"['Dulé Hill', 'Timothy Omundson', 'Corbin Bernsen']"
Adventure Time,2010–2018,8.6,99238,"['Jeremy Shada', 'Tom Kenny', 'Hynden Walch']"
The Good Doctor,2017– ,8.1,99123,"['Hill Harper', 'Richard Schiff', 'Christina Chang']"
Russian Doll,2019– ,7.8,99105,"['Charlie Barnett', 'Greta Lee', 'Elizabeth Ashley']"
Chilling Adventures of Sabrina,2018–2020,7.4,99084,"['Ross Lynch', 'Lucy Davis', 'Chance Perdomo']"
Making a Murderer,2015–2018,8.6,97996,"['Dolores Avery', 'Laura Nirider', 'Allan Avery']"
Billions,2016– ,8.4,96540,"['Damian Lewis', 'Maggie Siff', 'David Costabile']"
American Crime Story,2016– ,8.4,96434,"['Annaleigh Ashford', 'Sterling K. Brown', 'Kenneth Choi']"
Stargate SG-1,1997–2007,8.4,95908,"['Michael Shanks', 'Amanda Tapping', 'Christopher Judge']"
Fawlty Towers,1975–1979,8.8,95483,"['Prunella Scales', 'Andrew Sachs', 'Connie Booth']"
The Terminal List,2022– ,7.9,95193,"['Constance Wu', 'Taylor Kitsch', 'Riley Keough']"
Designated Survivor,2016–2019,7.5,94283,"['Adan Canto', 'Italia Ricci', 'Kal Penn']"
1899,2022,7.4,94280,"['Aneurin Barnard', 'Andreas Pietschmann', 'Miguel Bernardeau']"
The Night Manager,2016,8,93909,"['Hugh Laurie', 'Elizabeth Debicki', 'Olivia Colman']"
Shadow and Bone,2021– ,7.6,93894,"['Ben Barnes', 'Archie Renaux', 'Freddy Carter']"
Atypical,2017–2021,8.2,93457,"['Keir Gilchrist', 'Brigette Lundy-Paine', 'Michael Rapaport']"
Legion,2017–2019,8.2,92876,"['Rachel Keller', 'Aubrey Plaza', 'Bill Irwin']"
Dead to Me,2019–2022,8,91777,"['Linda Cardellini', 'Sam McCarthy', 'Luke Roessler']"
The O.C.,2003–2007,7.5,91628,"['Adam Brody', 'Peter Gallagher', 'Kelly Rowan']"
The Orville,2017– ,8,91201,"['Adrianne Palicki', 'Penny Johnson Jerald', 'Scott Grimes']"
Last Week Tonight with John Oliver,2014– ,8.9,90902,"['David Kaye', 'Ryan Barger', 'Noel MacNeal']"
Falling Skies,2011–2015,7.1,90719,"['Drew Roy', 'Maxim Knight', 'Will Patton']"
Locke & Key,2020–2022,7.3,90112,"['Connor Jessup', 'Emilia Jones', 'Jackson Robert Scott']"
The Inbetweeners,2008–2010,8.4,89906,"['James Buckley', 'Blake Harrison', 'Joe Thomas']"
The Family Man,2019– ,8.7,89501,"['Samantha Ruth Prabhu', 'Priyamani', 'Sharib Hashmi']"
The Following,2013–2015,7.4,89410,"['James Purefoy', 'Shawn Ashmore', 'Valorie Curry']"
Ray Donovan,2013–2020,8.3,89028,"['Eddie Marsan', 'Dash Mihok', 'Pooch Hall']"
American Gods,2017–2021,7.6,88464,"['Emily Browning', 'Yetide Badaki', 'Bruce Langley']"
See,2019–2022,7.6,88297,"['Sylvia Hoeks', 'Hera Hilmar', 'Christian Camargo']"
Barry,2018–2023,8.4,87709,"['Stephen Root', 'Sarah Goldberg', 'Anthony Carrigan']"
Skins,2007–2013,8.2,87160,"['Nicholas Hoult', 'Joe Dempsie', 'Hannah Murray']"
Frasier,1993–2004,8.2,87128,"['Jane Leeves', 'David Hyde Pierce', 'Peri Gilpin']"
The Outsider,2020,7.7,86798,"['Bill Camp', 'Jeremy Bobb', 'Mare Winningham']"
Narcos: Mexico,2018–2021,8.4,86654,"['José María Yazpik', 'Alejandro Edda', 'Alfonso Dosal']"
Star Trek,1966–1969,8.4,86447,"['Leonard Nimoy', 'DeForest Kelley', 'Nichelle Nichols']"
Charmed,1998–2006,7.1,86177,"['Alyssa Milano', 'Brian Krause', 'Rose McGowan']"
The Twilight Zone,1959–1964,9.1,86167,"['Robert McCord', 'Jay Overholts', 'James Turley']"
The Bear,2022– ,8.4,85710,"['Ebon Moss-Bachrach', 'Ayo Edebiri', 'Lionel Boyce']"
