Title,Year,Rating
Doom Patrol,2019–2023,7.8
Eureka,2006–2012,7.9
Samurai Jack,2001–2017,8.5
Cyberpunk: Edgerunners,2022– ,8.3
A Discovery of Witches,2018–2022,7.9
Blue Mountain State,2010–2011,8.3
Star Trek: Enterprise,2001–2005,7.5
NCIS: Los Angeles,2009–2023,6.8
Warehouse 13,2009–2014,7.6
Good Girls,2018–2021,7.7
Bloodline,2015–2017,7.9
King of the Hill,1997–2010,7.5
Constantine,2014–2015,7.5
Hart of Dixie,2011–2015,7.7
Sweet Tooth,2021– ,7.8
All of Us Are Dead,2022– ,7.5
Blackadder Goes Forth,1989,8.8
Yellowjackets,2021– ,7.9
Grace and Frankie,2015–2022,8.2
Workaholics,2011–2017,8.1
3rd Rock from the Sun,1996–2001,7.8
MythBusters,2003–2018,8.3
Only Fools and Horses,1981–2003,9
Dirk Gently's Holistic Detective Agency,2016–2017,8.2
Hell on Wheels,2011–2016,8.3
Jane the Virgin,2014–2019,7.9
The Magicians,2015–2020,7.6
Archive 81,2022,7.3
Happy Valley,2014–2023,8.5
Leverage,2008–2012,7.9
Nikita,2010–2013,7.7
The Borgias,2011–2013,7.9
Alias,2001–2006,7.6
Warrior Nun,2020–2022,7
Stargate Universe,2009–2011,7.6
Fate: The Winx Saga,2021–2022,6.8
Reign,2013–2017,7.4
Almost Human,2013–2014,7.9
The Middle,2009–2018,7.6
Goliath,2016–2021,8.1
Dexter's Laboratory,1996–2003,7.9
Dollhouse,2009–2010,7.7
Saturday Night Live,1975– ,8
The League,I) (2009–2015,8.3
The Knick,2014–2015,8.5
Phineas and Ferb,2007–2024,8.1
Vikings: Valhalla,2022– ,7.3
Hunters,2020–2023,7.2
Regular Show,2009–2017,8.5
Power,I) (2014–2020,8.1
Utopia,I) (2013–2014,8.4
The Secret Circle,2011–2012,7.3
CSI: NY,2004–2013,6.9
Justice League,2001–2004,8.6
GLOW,2017–2019,8
Sword Art Online,2012– ,7.5
Into the Badlands,2015–2019,7.9
Castle Rock,2018–2019,7.5
Blackadder II,1986,8.6
Boston Legal,2004–2008,8.5
The Daily Show,1996– ,8.3
Ghost Whisperer,2005–2010,6.4
Poirot,1989–2013,8.6
For All Mankind,2019– ,8
Derry Girls,2018–2022,8.5
Courage the Cowardly Dog,1999–2002,8.3
The Affair,2014–2019,7.9
Guillermo del Toro's Cabinet of Curiosities,2022– ,7
Star Wars: Rebels,2014–2018,8
The Terror,2018–2019,7.9
Coupling,2000–2004,8.6
Xena: Warrior Princess,1995–2001,6.7
Trailer Park Boys,2001–2018,8.6
12 Monkeys,2015–2018,7.7
The 4400,2004–2007,7.3
Clarkson's Farm,2021– ,9
Home Improvement,1991–1999,7.2
Carnivàle,2003–2005,8.4
Final Space,2018–2021,8.2
Ballers,2015–2019,7.6
The Nanny,1993–1999,7
90210,2008–2013,6.2
Blackadder the Third,1987,8.6
The Rookie,2018– ,8
Awkward.,2011–2016,7.5
Tulsa King,2022– ,8.1
Batwoman,2019–2022,3.4
Timeless,2016–2018,7.6
Ugly Betty,2006–2010,6.7
X-Men: The Animated Series,1992–1997,8.4
Four More Shots Please,2019–2022,5.6
Whose Line Is It Anyway?,1998–2007,8.5
Roseanne,1988–2018,7
Messiah,2020,7.6
Cougar Town,2009–2015,7
Robot Chicken,2001– ,7.7
The Great,2020– ,8.2
Boy Meets World,1993–2000,8.1
The Powerpuff Girls,1998–2004,7.3
Formula 1: Drive to Survive,2019– ,8.6
New Amsterdam,2018–2023,8
Love,2016–2018,7.7
Lovecraft Country,2020,7.1
Numb3rs,2005–2010,6.9
Virgin River,2019– ,7.4
Defiance,2013–2015,6.9
Joey,2004–2006,6
Dark Matter,2015–2017,7.5
Wilfred,2011–2014,7.8
The Golden Girls,1985–1992,8.2
Scream Queens,2015–2016,7.1
Touch,2012–2013,7.3
Dead Like Me,2003–2004,8.1
Young Justice,2010–2022,8.6
Resident Evil,2022,4.1
Scream: The TV Series,2015–2019,7.1
Blue Bloods,2010– ,7.7
Dawson's Creek,1998–2003,6.8
The Fairly OddParents,2001–2017,7.2
Resident Alien,2021– ,8.1
Impractical Jokers,2011– ,8.6
The Cleveland Show,2009–2013,5.6
Torchwood,2006–2011,7.7
The Old Man,2022– ,7.6
Father Ted,1995–1998,8.7
Hannah Montana,2006–2011,5.2
iCarly,2007–2012,6.7
The Kominsky Method,2018–2021,8.2
Cowboy Bebop,2021,6.7
Hemlock Grove,2013–2015,7
Drake & Josh,2004–2007,7.7
Humans,2015–2018,7.9
Servant,2019–2023,7.5
Law & Order,1990– ,7.8
The Lincoln Lawyer,2022– ,7.7
The Ranch,2016–2020,7.5
Star Wars: The Bad Batch,2021– ,7.8
Happy!,2017–2019,8.1
Animal Kingdom,2016–2022,8.2
Sabrina the Teenage Witch,1996–2003,6.7
