Title,Rating,Votes,Stars,Genres,Start_Year,End_Year
Wednesday,8.1,296999,"['Hunter Doohan', 'Percy Hynes White', 'Emma Myers']","['Comedy', 'Crime', 'Fantasy']",2022,2023
Sex Education,8.3,293874,"['Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey']","['Comedy', 'Drama']",2019,2023
Community,8.5,272869,"['Danny Pudi', 'Donald Glover', 'Chevy Chase']",['Comedy'],2009,2015
Firefly,9.0,269724,"['Gina Torres', 'Alan Tudyk', 'Morena Baccarin']","['Adventure', 'Drama', 'Sci-Fi']",2002,2003
You,7.7,268603,"['Victoria Pedretti', 'Tati Gabrielle', 'Ambyr Childers']","['Crime', 'Drama', 'Romance']",2018,2023
Two and a Half Men,7.1,268566,"['Ashton Kutcher', 'Angus T. Jones', 'Conchata Ferrell']","['Comedy', 'Romance']",2003,2015
Parks and Recreation,8.6,266644,"[""Jim O'Heir"", 'Nick Offerman', 'Chris Pratt']",['Comedy'],2009,2015
Scrubs,8.4,260291,"['Donald Faison', 'Sarah Chalke', 'John C. McGinley']","['Comedy', 'Drama']",2001,2010
Hannibal,8.5,259848,"['Mads Mikkelsen', 'Caroline Dhavernas', 'Laurence Fishburne']","['Crime', 'Drama', 'Horror']",2013,2015
The 100,7.6,258210,"['Bob Morley', 'Marie Avgeropoulos', 'Isaiah Washington']","['Drama', 'Mystery', 'Sci-Fi']",2014,2020
The Blacklist,8.0,256575,"['Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']","['Crime', 'Drama', 'Mystery']",2013,2023
The Umbrella Academy,7.9,255124,"['Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman']","['Action', 'Adventure', 'Comedy']",2019,2023
True Blood,7.9,250040,"['Stephen Moyer', 'Sam Trammell', 'Ryan Kwanten']","['Drama', 'Fantasy', 'Mystery']",2008,2014
Shameless,8.6,249956,"['William H. Macy', 'Ethan Cutkosky', 'Jeremy Allen White']","['Comedy', 'Drama']",2011,2021
Fringe,8.4,246997,"['Joshua Jackson', 'John Noble', 'Jasika Nicole']","['Drama', 'Mystery', 'Sci-Fi']",2008,2013
