Title,Rating,Votes,Stars,Genres,Start_Year,End_Year
Warrior Nun,7.0,51679,"['Kristina Tonteri-Young', 'Lorena Andrea', 'Tristán Ulloa']","['Action', 'Drama', 'Fantasy']",2020,2022
Stargate Universe,7.6,51488,"['Louis Ferreira', 'Brian J. Smith', 'Elyse Levesque']","['Drama', 'Sci-Fi']",2009,2011
Fate: The Winx Saga,6.8,51135,"['Hannah van der Westhuysen', 'Precious Mustapha', 'Eliot Salt']","['Action', 'Adventure', 'Drama']",2021,2022
Reign,7.4,51083,"['Megan Follows', 'Celina Sinden', 'Torrance Coombs']",['Drama'],2013,2017
Almost Human,7.9,50947,"['Michael Ealy', 'Minka Kelly', 'Mackenzie Crook']","['Action', 'Crime', 'Drama']",2013,2014
The Middle,7.6,50874,"['Neil Flynn', 'Charlie McDermott', 'Eden Sher']","['Comedy', 'Family']",2009,2018
Goliath,8.1,50470,"['Nina Arianda', 'Tania Raymonde', 'Diana Hopper']",['Drama'],2016,2021
Dexter's Laboratory,7.9,50459,"['Jeff Bennett', 'Christine Cavanaugh', 'Frank Welker']","['Animation', 'Short', 'Adventure']",1996,2003
Dollhouse,7.7,50207,"['Harry Lennix', 'Fran Kranz', 'Tahmoh Penikett']","['Drama', 'Mystery', 'Sci-Fi']",2009,2010
Saturday Night Live,8.0,50110,"['Don Pardo', 'Darrell Hammond', 'Lenny Pickett']","['Comedy', 'Music']",1975,2023
The Knick,8.5,49981,"['Clive Owen', 'Jeremy Bobb', 'Juliet Rylance']","['Drama', 'History']",2014,2015
The League,8.3,49979,"['Jonathan Lajoie', 'Nick Kroll', 'Stephen Rannazzisi']","['Comedy', 'Sport']",2009,2015
Phineas and Ferb,8.1,49648,"['Dan Povenmire', 'Thomas Brodie-Sangster', 'Ashley Tisdale']","['Animation', 'Short', 'Action']",2007,2024
Vikings: Valhalla,7.3,49463,"['Leo Suter', 'Frida Gustavsson', 'Jóhannes Haukur Jóhannesson']","['Action', 'Adventure', 'Drama']",2022,2023
Hunters,7.2,48797,"['Logan Lerman', 'Lena Olin', 'Josh Radnor']","['Crime', 'Drama', 'Mystery']",2020,2023
Regular Show,8.5,48621,"['William Salyers', 'Sam Marin', 'Mark Hamill']","['Animation', 'Action', 'Adventure']",2009,2017
Power,8.1,48288,"['Lela Loren', 'Naturi Naughton', 'Joseph Sikora']","['Crime', 'Drama']",2014,2020
Utopia,8.4,48072,"['Paul Higgins', 'Neil Maskell', ""Fiona O'Shaughnessy""]","['Drama', 'Mystery', 'Sci-Fi']",2013,2014
Justice League,8.6,47952,"['Phil LaMarr', 'Michael Rosenbaum', 'George Newbern']","['Animation', 'Action', 'Adventure']",2001,2004
CSI: NY,6.9,47942,"['Carmine Giovinazzo', 'Hill Harper', 'Eddie Cahill']","['Action', 'Crime', 'Drama']",2004,2013
The Secret Circle,7.3,47938,"['Thomas Dekker', 'Phoebe Tonkin', 'Shelley Hennig']","['Drama', 'Fantasy', 'Horror']",2011,2012
GLOW,8.0,47870,"['Marc Maron', 'Betty Gilpin', 'Britt Baron']","['Comedy', 'Drama', 'Sport']",2017,2019
Sword Art Online,7.5,47758,"['Haruka Tomatsu', 'Bryce Papenbrook', 'Cherami Leigh']","['Animation', 'Action', 'Adventure']",2012,2023
Into the Badlands,7.9,47649,"['Orla Brady', 'Emily Beecham', 'Aramis Knight']","['Action', 'Adventure', 'Drama']",2015,2019
Castle Rock,7.5,47639,"['André Holland', 'Lizzy Caplan', 'Melanie Lynskey']","['Drama', 'Fantasy', 'Horror']",2018,2019
Blackadder II,8.6,47611,"['Tony Robinson', 'Tim McInnerny', 'Miranda Richardson']",['Comedy'],1986,2023
Boston Legal,8.5,47610,"['William Shatner', 'Candice Bergen', 'Rene Auberjonois']","['Comedy', 'Crime', 'Drama']",2004,2008
The Daily Show,8.3,47545,"['Trevor Noah', 'Stephen Colbert', 'Roy Wood Jr.']","['Comedy', 'News', 'Talk-Show']",1996,2023
Ghost Whisperer,6.4,47525,"['David Conrad', 'Camryn Manheim', 'Christoph Sanders']","['Drama', 'Fantasy']",2005,2010
Poirot,8.6,47425,"['Hugh Fraser', 'Philip Jackson', 'Pauline Moran']","['Crime', 'Drama', 'Mystery']",1989,2013
For All Mankind,8.0,47129,"['Michael Dorman', 'Wrenn Schmidt', 'Shantel VanSanten']","['Drama', 'Sci-Fi']",2019,2023
Derry Girls,8.5,47098,"['Louisa Harland', ""Tara Lynne O'Neill"", 'Kathy Kiera Clarke']",['Comedy'],2018,2022
Courage the Cowardly Dog,8.3,46993,"['Thea White', 'Peter Fernandez', 'Simon Prebble']","['Animation', 'Adventure', 'Comedy']",1999,2002
Guillermo del Toro's Cabinet of Curiosities,7.0,46964,"['Kevin Keppy', 'Ben Barnes', 'F. Murray Abraham']","['Drama', 'Horror', 'Mystery']",2022,2023
The Affair,7.9,46942,"['Ruth Wilson', 'Maura Tierney', 'Julia Goldani Telles']",['Drama'],2014,2019
Star Wars: Rebels,8.0,46624,"['Taylor Gray', 'Freddie Prinze Jr.', 'Vanessa Marshall']","['Animation', 'Action', 'Adventure']",2014,2018
The Terror,7.9,46332,"['Derek Mio', 'Tobias Menzies', 'Kiki Sukezane']","['Adventure', 'Drama', 'Horror']",2018,2019
Coupling,8.6,46288,"['Gina Bellman', 'Sarah Alexander', 'Kate Isitt']","['Comedy', 'Romance']",2000,2004
Xena: Warrior Princess,6.7,46269,"[""Renée O'Connor"", 'Ted Raimi', 'Kevin Smith']","['Action', 'Adventure', 'Drama']",1995,2001
Trailer Park Boys,8.6,46018,"['Robb Wells', 'Mike Smith', 'John Dunsworth']","['Comedy', 'Crime']",2001,2018
12 Monkeys,7.7,45990,"['Amanda Schull', 'Noah Bean', 'Barbara Sukowa']","['Adventure', 'Drama', 'Mystery']",2015,2018
The 4400,7.3,45934,"['Joel Gretsch', 'Patrick John Flueger', 'Conchita Campbell']","['Drama', 'Mystery', 'Sci-Fi']",2004,2007
Clarkson's Farm,9.0,45673,"['Kaleb Cooper', 'Charlie Ireland', 'Lisa Hogan']","['Documentary', 'Comedy', 'Reality-TV']",2021,2023
Home Improvement,7.2,45552,"['Earl Hindman', 'Taran Noah Smith', 'Zachery Ty Bryan']","['Comedy', 'Family']",1991,1999
Carnivàle,8.4,45490,"['Adrienne Barbeau', 'Clancy Brown', 'Debra Christofferson']","['Drama', 'Fantasy', 'Mystery']",2003,2005
Final Space,8.2,45377,"['Tom Kenny', 'Olan Rogers', 'Tika Sumpter']","['Animation', 'Action', 'Adventure']",2018,2021
Ballers,7.6,45337,"['John David Washington', 'Donovan W. Carter', 'Troy Garity']","['Comedy', 'Drama', 'Sport']",2015,2019
Tulsa King,8.1,45280,"['Andrea Savage', 'Martin Starr', 'Jay Will']","['Crime', 'Drama']",2022,2023
The Nanny,7.0,45208,"['Charles Shaughnessy', 'Daniel Davis', 'Lauren Lane']","['Comedy', 'Family', 'Romance']",1993,1999
The Rookie,8.0,45170,"['Alyssa Diaz', 'Richard T. Jones', ""Melissa O'Neil""]","['Action', 'Crime', 'Drama']",2018,2023
90210,6.2,45170,"['Tristan Mack Wilds', 'AnnaLynne McCord', 'Jessica Stroup']","['Comedy', 'Drama', 'Romance']",2008,2013
Blackadder the Third,8.6,45108,"['Tony Robinson', 'Hugh Laurie', 'Helen Atkinson Wood']",['Comedy'],1987,2023
Awkward.,7.5,44936,"['Beau Mirchoff', 'Jillian Rose Reed', 'Brett Davern']","['Comedy', 'Drama', 'Romance']",2011,2016
Batwoman,3.4,44823,"['Rachel Skarsten', 'Meagan Tandy', 'Nicole Kang']","['Action', 'Adventure', 'Crime']",2019,2022
Timeless,7.6,44767,"['Matt Lanter', 'Malcolm Barrett', 'Paterson Joseph']","['Action', 'Adventure', 'Drama']",2016,2018
Ugly Betty,6.7,44715,"['Eric Mabius', 'Tony Plana', 'Ana Ortiz']","['Comedy', 'Drama', 'Romance']",2006,2010
X-Men: The Animated Series,8.4,44584,"['Cal Dodd', 'Lenore Zann', 'George Buza']","['Animation', 'Action', 'Adventure']",1992,1997
Whose Line Is It Anyway?,8.5,44489,"['Colin Mochrie', 'Ryan Stiles', 'Laura Hall']","['Comedy', 'Game-Show']",1998,2007
Four More Shots Please,5.6,44482,"['Kirti Kulhari', 'Gurbani', 'Maanvi Gagroo']","['Comedy', 'Drama', 'Romance']",2019,2022
Roseanne,7.0,44415,"['John Goodman', 'Laurie Metcalf', 'Michael Fishman']","['Comedy', 'Drama']",1988,2018
Messiah,7.6,44394,"['Mehdi Dehbi', 'John Ortiz', 'Tomer Sisley']","['Drama', 'Mystery', 'Thriller']",2020,2023
Cougar Town,7.0,44349,"['Christa Miller', 'Busy Philipps', 'Dan Byrd']","['Comedy', 'Romance']",2009,2015
Robot Chicken,7.7,44330,"['Matthew Senreich', 'Breckin Meyer', 'Tom Root']","['Animation', 'Short', 'Adventure']",2001,2023
The Great,8.2,44260,"['Nicholas Hoult', 'Phoebe Fox', 'Sacha Dhawan']","['Biography', 'Comedy', 'Drama']",2020,2023
Boy Meets World,8.1,44187,"['Rider Strong', 'William Daniels', 'Betsy Randle']","['Comedy', 'Drama', 'Family']",1993,2000
The Powerpuff Girls,7.3,44174,"['Elizabeth Daily', 'Tara Strong', 'Tom Kenny']","['Animation', 'Action', 'Adventure']",1998,2004
Formula 1: Drive to Survive,8.6,44082,"['Jack Nicholls', 'Lewis Hamilton', 'Daniel Ricciardo']","['Documentary', 'Sport']",2019,2023
New Amsterdam,8.0,43911,"['Janet Montgomery', 'Jocko Sims', 'Tyler Labine']",['Drama'],2018,2023
Lovecraft Country,7.1,43886,"['Jurnee Smollett', 'Courtney B. Vance', 'Michael Kenneth Williams']","['Drama', 'Fantasy', 'Horror']",2020,2023
Love,7.7,43860,"['Paul Rust', ""Claudia O'Doherty"", 'Mike Mitchell']","['Comedy', 'Drama', 'Romance']",2016,2018
Numb3rs,6.9,43652,"['David Krumholtz', 'Judd Hirsch', 'Alimi Ballard']","['Crime', 'Drama', 'Mystery']",2005,2010
Virgin River,7.4,43617,"['Tim Matheson', 'Alexandra Breckenridge', 'Colin Lawrence']","['Drama', 'Romance']",2019,2023
Defiance,6.9,43409,"['Stephanie Leonidas', 'Julie Benz', 'Graham Greene']","['Action', 'Drama', 'Sci-Fi']",2013,2015
Joey,6.0,43348,"['Paulo Costanzo', 'Drea de Matteo', 'Andrea Anders']","['Comedy', 'Romance']",2004,2006
Wilfred,7.8,43320,"['Jason Gann', 'Fiona Gubelmann', 'Dorian Brown Pham']","['Comedy', 'Drama', 'Mystery']",2011,2014
Dark Matter,7.5,43318,"['Anthony Lemke', 'Alex Mallari Jr.', 'Jodelle Ferland']","['Adventure', 'Drama', 'Mystery']",2015,2017
The Golden Girls,8.2,43241,"['Betty White', 'Rue McClanahan', 'Estelle Getty']","['Comedy', 'Drama']",1985,1992
Scream Queens,7.1,43067,"['Lea Michele', 'Abigail Breslin', 'Keke Palmer']","['Comedy', 'Horror', 'Mystery']",2015,2016
Touch,7.3,42977,"['David Mazouz', 'Gugu Mbatha-Raw', 'Lukas Haas']","['Drama', 'Mystery', 'Sci-Fi']",2012,2013
Dead Like Me,8.1,42755,"['Callum Blue', 'Jasmine Guy', 'Mandy Patinkin']","['Comedy', 'Drama', 'Fantasy']",2003,2004
Young Justice,8.6,42629,"['Danica McKellar', 'Jesse McCartney', 'Stephanie Lemelin']","['Animation', 'Action', 'Adventure']",2010,2022
Resident Evil,4.1,42591,"['Tamara Smart', 'Siena Agudong', 'Adeline Rudolph']","['Action', 'Horror', 'Sci-Fi']",2022,2023
Scream: The TV Series,7.1,42580,"['Bex Taylor-Klaus', 'John Karna', 'Carlson Young']","['Comedy', 'Crime', 'Drama']",2015,2019
Blue Bloods,7.7,42560,"['Bridget Moynahan', 'Will Estes', 'Len Cariou']","['Crime', 'Drama', 'Mystery']",2010,2023
Dawson's Creek,6.8,42480,"['Katie Holmes', 'Michelle Williams', 'Joshua Jackson']","['Drama', 'Romance']",1998,2003
The Fairly OddParents,7.2,42358,"['Susanne Blakeslee', 'Daran Norris', 'Carlos Alazraqui']","['Animation', 'Adventure', 'Comedy']",2001,2017
Resident Alien,8.1,42241,"['Sara Tomko', 'Corey Reynolds', 'Alice Wetterlund']","['Comedy', 'Drama', 'Mystery']",2021,2023
Impractical Jokers,8.6,42068,"['Brian Quinn', 'Sal Vulcano', 'Joe Gatto']","['Comedy', 'Reality-TV']",2011,2023
The Cleveland Show,5.6,42042,"['Sanaa Lathan', 'Kevin Michael Richardson', 'Jason Sudeikis']","['Animation', 'Adventure', 'Comedy']",2009,2013
Torchwood,7.7,41892,"['Eve Myles', 'Kai Owen', 'Gareth David-Lloyd']","['Action', 'Drama', 'Mystery']",2006,2011
The Old Man,7.6,41682,"['John Lithgow', 'E.J. Bonilla', 'Bill Heck']","['Action', 'Drama', 'Thriller']",2022,2023
Father Ted,8.7,41526,"[""Ardal O'Hanlon"", 'Frank Kelly', 'Pauline McLynn']",['Comedy'],1995,1998
Hannah Montana,5.2,41516,"['Emily Osment', 'Jason Earles', 'Billy Ray Cyrus']","['Comedy', 'Family', 'Music']",2006,2011
iCarly,6.7,41166,"['Jerry Trainor', 'Jennette McCurdy', 'Nathan Kress']","['Comedy', 'Family', 'Romance']",2007,2012
The Kominsky Method,8.2,41136,"['Sarah Baker', 'Graham Rogers', 'Melissa Tang']","['Comedy', 'Drama']",2018,2021
Cowboy Bebop,6.7,41124,"['Mustafa Shakir', 'Daniella Pineda', 'Elena Satine']","['Action', 'Adventure', 'Comedy']",2021,2023
Hemlock Grove,7.0,41119,"['Bill Skarsgård', 'Landon Liboiron', 'Joel de la Fuente']","['Drama', 'Fantasy', 'Horror']",2013,2015
Drake & Josh,7.7,40990,"['Josh Peck', 'Miranda Cosgrove', 'Nancy Sullivan']","['Comedy', 'Family']",2004,2007
Servant,7.5,40792,"['Toby Kebbell', 'Nell Tiger Free', 'Rupert Grint']","['Drama', 'Horror', 'Mystery']",2019,2023
Humans,7.9,40702,"['Gemma Chan', 'Lucy Carless', 'Tom Goodman-Hill']","['Drama', 'Sci-Fi']",2015,2018
Star Wars: The Bad Batch,7.8,40516,"['Dee Bradley Baker', 'Michelle Ang', 'Noshir Dalal']","['Animation', 'Action', 'Adventure']",2021,2023
Law & Order,7.8,40481,"['Jesse L. Martin', 'Dennis Farina', 'Sam Waterston']","['Crime', 'Drama', 'Mystery']",1990,2023
The Lincoln Lawyer,7.7,40451,"['Neve Campbell', 'Becki Newton', 'Angus Sampson']","['Crime', 'Drama', 'Mystery']",2022,2023
The Ranch,7.5,40390,"['Sam Elliott', 'Grady Lee Richmond', 'Elisha Cuthbert']","['Comedy', 'Drama', 'Western']",2016,2020
Happy!,8.1,40335,"['Ritchie Coster', 'Lili Mirojnick', 'Patton Oswalt']","['Action', 'Comedy', 'Crime']",2017,2019
Animal Kingdom,8.2,40313,"['Ben Robson', 'Jake Weary', 'Finn Cole']","['Crime', 'Drama']",2016,2022
Sabrina the Teenage Witch,6.7,40271,"['Caroline Rhea', 'Beth Broderick', 'Nick Bakay']","['Comedy', 'Family', 'Fantasy']",1996,2003
Chicago P.D.,8.1,40242,"['Patrick John Flueger', 'Marina Squerciati', 'LaRoyce Hawkins']","['Action', 'Crime', 'Drama']",2014,2023
MacGyver,7.6,40005,"['Dana Elcar', 'Bruce McGill', 'Robin Mossley']","['Action', 'Adventure', 'Crime']",1985,1992
Empire,7.4,39969,"['Taraji P. Henson', 'Jussie Smollett', 'Bryshere Y. Gray']","['Drama', 'Music']",2015,2020
Hanna,7.6,39965,"['Mireille Enos', 'Áine Rose Daly', 'Cherrelle Skeete']","['Action', 'Drama']",2019,2021
Alcatraz,6.9,39873,"['Jorge Garcia', 'Jonny Coyne', 'Parminder Nagra']","['Action', 'Crime', 'Drama']",2012,2023
The A-Team,7.5,39571,"['Mr. T', 'Dwight Schultz', 'Dirk Benedict']","['Action', 'Adventure', 'Crime']",1983,1987
Jupiter's Legacy,6.7,39502,"['Ben Daniels', 'Leslie Bibb', 'Andrew Horton']","['Action', 'Adventure', 'Drama']",2021,2023
Blackadder,8.0,39266,"['Brian Blessed', 'Elspet Gray', 'Tim McInnerny']",['Comedy'],1982,1983
Slow Horses,7.9,39258,"['Jack Lowden', 'Kristin Scott Thomas', 'Saskia Reeves']","['Drama', 'Thriller']",2022,2023
Everybody Hates Chris,7.5,39195,"['Tichina Arnold', 'Tequan Richmond', 'Imani Hakim']","['Comedy', 'Drama', 'Music']",2005,2009
Haven,7.5,39183,"['Lucas Bryant', 'Eric Balfour', 'Richard Donat']","['Crime', 'Drama', 'Fantasy']",2010,2015
Happy Endings,7.8,39068,"['Elisha Cuthbert', 'Zachary Knighton', 'Adam Pally']","['Comedy', 'Romance']",2011,2020
The Colbert Report,8.4,38963,"['Jay Katsir', 'Jon Stewart', 'Paul Dinello']","['Comedy', 'News', 'Talk-Show']",2005,2014
Lethal Weapon,7.8,38885,"['Keesha Sharp', 'Kevin Rahm', 'Michelle Mitchenor']","['Action', 'Comedy', 'Crime']",2016,2019
F Is for Family,8.0,38843,"['Laura Dern', 'Justin Long', 'Debi Derryberry']","['Animation', 'Comedy', 'Drama']",2015,2021
Raising Hope,8.1,38825,"['Martha Plimpton', 'Garret Dillahunt', 'Shannon Woodward']","['Comedy', 'Family']",2010,2014
Shooter,7.5,38801,"['Shantel VanSanten', 'Cynthia Addai-Robinson', 'Omar Epps']","['Action', 'Drama']",2016,2018
"Ed, Edd n Eddy",7.5,38799,"['Sam Vincent', 'Tony Sampson', 'Erin Fitzgerald']","['Animation', 'Comedy', 'Family']",1999,2008
The Wonder Years,8.4,38794,"['Dan Lauria', 'Alley Mills', 'Jason Hervey']","['Comedy', 'Drama', 'Family']",1988,1993
Don't Trust the B---- in Apartment 23,7.3,38776,"['Dreama Walker', 'Michael Blaiklock', 'Eric André']",['Comedy'],2012,2013
The Goldbergs,8.0,38523,"['Sean Giambrone', 'Troy Gentile', 'Hayley Orrantia']",['Comedy'],2013,2023
The Flintstones,7.5,38288,"['Mel Blanc', 'Jean Vander Pyl', 'Bea Benaderet']","['Animation', 'Adventure', 'Comedy']",1960,1966
Farscape,8.3,38179,"['Claudia Black', 'Anthony Simcoe', 'Lani John Tupu']","['Action', 'Adventure', 'Drama']",1999,2003
Sneaky Pete,8.1,38004,"['Marin Ireland', 'Shane McRae', 'Libe Barer']","['Crime', 'Thriller']",2015,2019
Doctor Who,8.4,37987,"['Patrick Troughton', 'Jon Pertwee', 'Tom Baker']","['Adventure', 'Drama', 'Family']",1963,1989
The Suite Life of Zack & Cody,6.6,37654,"['Dylan Sprouse', 'Brenda Song', 'Ashley Tisdale']","['Comedy', 'Family']",2005,2008
"Scooby Doo, Where Are You!",7.9,37589,"['Casey Kasem', 'Nicole Jaffe', 'Vic Perrin']","['Animation', 'Adventure', 'Comedy']",1969,1970
Z Nation,6.7,37582,"['Nat Zang', 'Keith Allan', 'Kellita Smith']","['Action', 'Comedy', 'Drama']",2014,2018
Columbo,8.3,37427,"['Mike Lally', 'John Finnegan', 'Bruce Kirby']","['Crime', 'Drama', 'Mystery']",1971,2003
Colony,7.3,37315,"['Isabella Crovetti', 'Josh Holloway', 'Peter Jacobson']","['Action', 'Adventure', 'Drama']",2016,2018
Beauty and the Beast,7.0,37299,"['Jay Ryan', 'Nina Lisandrello', 'Austin Basis']","['Drama', 'Horror', 'Romance']",2012,2016
Johnny Bravo,7.2,37282,"['Brenda Vaccaro', 'Mae Whitman', 'Tom Kenny']","['Animation', 'Adventure', 'Comedy']",1997,2004
Masters of Sex,7.9,37249,"['Lizzy Caplan', 'Caitlin FitzGerald', 'Teddy Sears']","['Drama', 'Romance']",2013,2016
9-1-1,7.8,37204,"['Peter Krause', 'Oliver Stark', 'Aisha Hinds']","['Action', 'Drama', 'Thriller']",2018,2023
According to Jim,6.5,36996,"['Courtney Thorne-Smith', 'Larry Joe Campbell', 'Taylor Atelian']","['Comedy', 'Romance']",2001,2009
Longmire,8.3,36956,"['Katee Sackhoff', 'Lou Diamond Phillips', 'Cassidy Freeman']","['Action', 'Crime', 'Drama']",2012,2017
ALF,7.4,36739,"['Paul Fusco', 'Max Wright', 'Anne Schedeen']","['Comedy', 'Family', 'Sci-Fi']",1986,1990
Mom,7.3,36677,"['Anna Faris', 'Mimi Kennedy', 'Beth Hall']","['Comedy', 'Drama', 'Romance']",2013,2021
Another Life,5.3,36639,"['Samuel Anderson', 'A.J. Rivera', 'JayR Tinaco']","['Adventure', 'Drama', 'Mystery']",2019,2021
Top of the Lake,7.4,36409,"['David Wenham', 'Peter Mullan', 'Thomas M. Wright']","['Crime', 'Drama', 'Mystery']",2013,2017
Rugrats,7.5,36396,"['Christine Cavanaugh', 'Nancy Cartwright', 'Kath Soucie']","['Animation', 'Adventure', 'Comedy']",1991,2006
The Tomorrow People,7.2,36384,"['Peyton List', 'Luke Mitchell', 'Aaron Yoo']","['Action', 'Drama', 'Sci-Fi']",2013,2014
The Gifted,7.2,36064,"['Amy Acker', 'Sean Teale', 'Natalie Alyn Lind']","['Action', 'Drama', 'Fantasy']",2017,2019
Saved by the Bell,7.1,35972,"['Mario Lopez', 'Dustin Diamond', 'Lark Voorhies']","['Comedy', 'Family', 'Romance']",1989,1992
Parenthood,8.3,35939,"['Lauren Graham', 'Dax Shepard', 'Monica Potter']","['Comedy', 'Drama']",2010,2015
Gangs of London,8.1,35821,"['Joe Cole', 'Michelle Fairley', 'Lucian Msamati']","['Action', 'Crime', 'Drama']",2020,2023
Red Dwarf,8.4,35795,"['Craig Charles', 'Danny John-Jules', 'Robert Llewellyn']","['Comedy', 'Sci-Fi']",1988,2023
Sugarland,8.3,35632,[],"['Animation', 'Comedy', 'Family']",2019,2023
Episodes,7.8,35602,"['Stephen Mangan', 'Tamsin Greig', 'John Pankow']",['Comedy'],2011,2017
Knight Rider,6.9,35566,"['Edward Mulhare', 'Richard Basehart', 'Patricia McPherson']","['Action', 'Crime', 'Drama']",1982,1986
Wizards of Waverly Place,6.9,35538,"['David Henrie', 'Jake T. Austin', 'Jennifer Stone']","['Adventure', 'Comedy', 'Drama']",2007,2012
Legend of the Seeker,7.6,35482,"['Bridget Regan', 'Bruce Spence', 'Craig Parker']","['Action', 'Adventure', 'Drama']",2008,2010
"Beverly Hills, 90210",6.5,35443,"['Shannen Doherty', 'Luke Perry', 'Jennie Garth']","['Drama', 'Romance']",1990,2000
Steven Universe,8.2,35425,"['Deedee Magno', 'Michaela Dietz', 'Estelle']","['Animation', 'Action', 'Adventure']",2013,2020
Last Man Standing,7.5,35396,"['Nancy Travis', 'Hector Elizondo', 'Christoph Sanders']",['Comedy'],2011,2021
Rizzoli & Isles,7.6,35295,"['Sasha Alexander', 'Jordan Bridges', 'Bruce McGill']","['Crime', 'Drama', 'Mystery']",2010,2016
Midsomer Murders,7.9,35190,"['Jane Wymark', 'Barry Jackson', 'Neil Dudgeon']","['Crime', 'Drama', 'Mystery']",1997,2023
Teenage Mutant Ninja Turtles,7.9,35175,"['Barry Gordon', 'Rob Paulsen', 'Townsend Coleman']","['Animation', 'Action', 'Adventure']",1987,1996
Star Trek: Strange New Worlds,8.2,34987,"['Anson Mount', 'Ethan Peck', 'Jess Bush']","['Action', 'Adventure', 'Sci-Fi']",2022,2023
The Cosby Show,7.4,34865,"['Phylicia Rashad', 'Keshia Knight Pulliam', 'Malcolm-Jamal Warner']","['Comedy', 'Family', 'Romance']",1984,1992
The Amazing World of Gumball,8.3,34751,"['Teresa Gallagher', 'Kerry Shale', 'Kyla Rae Kowalewski']","['Animation', 'Short', 'Adventure']",2011,2019
Hey Arnold!,7.6,34736,"['Jamil Walker Smith', 'Dan Castellaneta', 'Justin Shenkarow']","['Animation', 'Comedy', 'Drama']",1996,2004
Ally McBeal,6.9,34574,"['Greg Germann', 'Jane Krakowski', 'Vonda Shepard']","['Comedy', 'Drama', 'Fantasy']",1997,2002
Mayor of Kingstown,8.2,34557,"['Dianne Wiest', 'Hugh Dillon', 'Tobi Bamtefa']","['Crime', 'Drama', 'Thriller']",2021,2023
The Chosen,9.3,34520,"['Jonathan Roumie', 'Paras Patel', 'Elizabeth Tabish']","['Drama', 'History']",2017,2023
The Righteous Gemstones,8.1,34500,"['Danny McBride', 'Adam Devine', 'Edi Patterson']","['Comedy', 'Drama']",2019,2023
Life,8.3,34487,"['Sarah Shahi', 'Adam Arkin', 'Brent Sexton']","['Crime', 'Drama', 'Mystery']",2007,2009
The Bugs Bunny Show,8.6,34447,"['June Foray', 'Daws Butler', 'Hal Smith']","['Animation', 'Comedy']",1960,1975
Rules of Engagement,7.3,34439,"['Megyn Price', 'Oliver Hudson', 'Bianca Kajlich']","['Comedy', 'Romance']",2007,2013
Party Down,8.2,34169,"['Ken Marino', 'Ryan Hansen', 'Martin Starr']","['Comedy', 'Drama']",2009,2023
Teen Titans,7.9,34154,"['Greg Cipes', 'Scott Menville', 'Khary Payton']","['Animation', 'Action', 'Adventure']",2003,2006
Superman & Lois,7.8,34094,"['Elizabeth Tulloch', 'Alex Garfin', 'Erik Valdez']","['Action', 'Adventure', 'Drama']",2021,2023
Modern Love,7.9,33994,"['Tina Fey', 'Andy Garcia', 'Dev Patel']","['Comedy', 'Romance']",2019,2021
Quantum Leap,8.2,33917,"['Dean Stockwell', 'Deborah Pratt', 'Dennis Wolfberg']","['Action', 'Adventure', 'Drama']",1989,1993
Bored to Death,7.9,33877,"['Zach Galifianakis', 'Ted Danson', 'Heather Burns']","['Comedy', 'Crime', 'Drama']",2009,2011
Derek,8.1,33866,"['Kerry Godliman', 'David Earl', 'Tim Barlow']","['Comedy', 'Drama']",2012,2014
Into the Night,7.1,33616,"['Laurent Capelluto', 'Mehmet Kurtulus', 'Babetida Sadjo']","['Drama', 'Sci-Fi', 'Thriller']",2020,2023
Legacies,7.3,33488,"['Aria Shahghasemi', 'Quincy Fouse', 'Matthew Davis']","['Adventure', 'Drama', 'Fantasy']",2018,2022
Dark Angel,7.3,33458,"['Michael Weatherly', 'Richard Gunn', 'J.C. MacKenzie']","['Action', 'Drama', 'Mystery']",2000,2002
The Mindy Project,7.5,33440,"['Ike Barinholtz', 'Ed Weeks', 'Chris Messina']",['Comedy'],2012,2017
Broad City,8.4,33407,"['Abbi Jacobson', 'Hannibal Buress', 'Arturo Castro']",['Comedy'],2014,2019
The Legend of Vox Machina,8.4,33395,"['Taliesin Jaffe', 'Ashley Johnson', 'Matthew Mercer']","['Animation', 'Action', 'Adventure']",2022,2023
Marcella,7.4,33294,"['Ray Panthaki', 'Jack Doolan', 'Jamie Bamber']","['Crime', 'Drama', 'Mystery']",2016,2021
Halt and Catch Fire,8.4,33280,"['Scoot McNairy', 'Mackenzie Davis', 'Kerry Bishé']",['Drama'],2014,2017
DuckTales,8.1,33194,"['Russi Taylor', 'Terence McGovern', 'Chuck McCann']","['Animation', 'Action', 'Adventure']",1987,2023
Poldark,8.3,33183,"['Eleanor Tomlinson', 'Jack Farthing', 'Beatie Edney']","['Drama', 'Romance']",2015,2019
An Idiot Abroad,8.3,33176,"['Ricky Gervais', 'Stephen Merchant', 'Richard Yee']","['Documentary', 'Adventure', 'Comedy']",2010,2012
The Filthy Frank Show,9.2,33105,"['Artemis Holdenberry', 'Zeeq', 'Bloody Hairy']","['Short', 'Comedy']",2011,2017
Living with Yourself,7.2,33068,"['Aisling Bea', 'Ali Akbar Sepahi', 'Desmin Borges']","['Comedy', 'Drama', 'Sci-Fi']",2019,2023
Nathan for You,8.9,32943,"['Anthony Filosa', 'Salomon Flores', 'William Heath']","['Documentary', 'Comedy']",2013,2017
The Recruit,7.4,32860,"['Fivel Stewart', 'Laura Haddock', 'Aarti Mann']","['Action', 'Adventure', 'Crime']",2022,2023
